product_id,region,category,base_cost,brand_strength_score,price_tier,max_allowed_mark_uppct,recommended_selling_price,mark_up_pct_used,warning,markup_violation,target_revenue,target_margin,actual_is_premium,premium_probability,premium_segment,markup_compliant,margin_vs_target
10001,Germany,Food & Refreshment,12.72,2,Value,12,14.2464,12.00000000000001,OK,True,460000,0.31,1,0.999990952514284,Strong Premium,False,11.69000000000001
10002,Spain,Food & Refreshment,6.97,4,Standard,28,8.9216,28.000000000000004,OK,True,410000,0.3,0,3.6196737287189683e-19,Standard / Value,False,27.700000000000003
10003,UK,Food & Refreshment,10.77,2,Value,12,12.0624,12.00000000000001,OK,True,520000,0.32,0,8.248669927223737e-16,Standard / Value,False,11.68000000000001
10004,Germany,Food & Refreshment,11.11,3,Value,12,12.4432,12.00000000000001,OK,True,460000,0.31,1,0.999990952514284,Strong Premium,False,11.69000000000001
10005,Germany,Food & Refreshment,3.02,4,Standard,28,3.8656,28.000000000000004,OK,True,460000,0.31,1,0.999990952514284,Strong Premium,False,27.690000000000005
10006,Spain,Personal Care,5.74,4,Standard,30,7.462000000000001,30.000000000000004,OK,True,410000,0.3,0,3.6196737287189683e-19,Standard / Value,False,29.700000000000003
10007,UK,Food & Refreshment,9.74,10,Premium,55,15.097,55.00000000000001,OK,True,520000,0.32,0,8.248669927223737e-16,Standard / Value,False,54.68000000000001
10008,UK,Food & Refreshment,1.53,9,Premium,55,2.3715,55.00000000000001,OK,True,520000,0.32,0,8.248669927223737e-16,Standard / Value,False,54.68000000000001
10009,Germany,Personal Care,5.74,10,Premium,60,9.184,60.00000000000001,OK,True,460000,0.31,1,0.999990952514284,Strong Premium,False,59.690000000000005
10010,France,Personal Care,8.25,6,Standard,30,10.725,30.000000000000004,OK,True,430000,0.29,0,8.024217092590475e-16,Standard / Value,False,29.710000000000004
10011,Germany,Personal Care,14.95,9,Premium,60,23.92,60.00000000000001,OK,True,460000,0.31,1,0.999990952514284,Strong Premium,False,59.690000000000005
10012,Germany,Personal Care,7.38,4,Standard,30,9.594,30.000000000000004,OK,True,460000,0.31,1,0.999990952514284,Strong Premium,False,29.690000000000005
10013,Germany,Personal Care,12.33,9,Premium,60,19.728,60.00000000000001,OK,True,460000,0.31,1,0.999990952514284,Strong Premium,False,59.690000000000005
10014,Germany,Personal Care,6.76,9,Premium,60,10.816,60.00000000000001,OK,True,460000,0.31,1,0.999990952514284,Strong Premium,False,59.690000000000005
10015,Spain,Food & Refreshment,12.05,6,Standard,28,15.424,28.000000000000004,OK,True,410000,0.3,0,3.6196737287189683e-19,Standard / Value,False,27.700000000000003
10016,UK,Food & Refreshment,9.13,5,Standard,28,11.6864,28.000000000000004,OK,True,520000,0.32,0,8.248669927223737e-16,Standard / Value,False,27.680000000000003
10017,Spain,Home Care,13.36,3,Value,10,14.696,10.000000000000009,OK,True,410000,0.3,0,3.6196737287189683e-19,Standard / Value,False,9.700000000000008
10018,Spain,Food & Refreshment,6.46,5,Standard,28,8.2688,28.000000000000004,OK,True,410000,0.3,0,3.6196737287189683e-19,Standard / Value,False,27.700000000000003
10019,Spain,Food & Refreshment,9.26,3,Value,12,10.3712,12.00000000000001,OK,True,410000,0.3,0,3.6196737287189683e-19,Standard / Value,False,11.70000000000001
